"Hoonah-Angoon, AK",2127,46,424,617,292,0,2042,1,20,4,848,3,4,8,9,45,30,1,1,5,2,0,11,3046,1100,15.4,6,0,5,53,0,34963,298,17,29,813,723,24.2,77,580,50,82,76,106,63,26,49,74,23,74,167,83,53,41,9,0,14369,134,41824,17.2,2150,-1286,0.3,1165,985,993,8,890,12
"Juneau, AK",30796,38.1,7336,11428,2500,54518,30777,13,852,53,12879,22,2,127,24,157,52,20,54,55,99,10,133,5310,18545,5.8,122,0,141,974,46,51835,5036,138,268,11134,10507,14.6,1588,7742,507,270,314,279,295,392,624,428,668,908,1166,2149,1324,1167,879,478,14192,672,73044,6.6,31275,564,11.6,15950,15325,21065,279,3692,1919
"Kenai Peninsula, AK",54665,40.6,13111,17719,6016,1327,53052,10,596,89,16417,65,11,282,62,249,125,26,61,68,130,22,194,4663,27238,10,116,1,136,787,43,36371,9487,268,243,19744,17823,19.9,1641,14238,1035,1215,956,1155,1004,864,785,1001,839,1557,2117,2555,2058,1080,860,522,13955,1364,57171,8.7,55400,5709,3.4,29038,26362,45879,269,4081,631
"Ketchikan Gateway, AK",13005,38.4,3227,4686,1353,0,13132,9,389,17,3445,14,0,65,16,112,59,13,22,21,31,5,34,4866,8216,7.6,28,1,36,367,23,43679,2164,41,14,4851,4725,17.9,538,3369,365,229,204,347,290,366,289,176,276,536,667,1010,589,244,222,152,12521,713,58492,8.3,13477,-593,2.8,6911,6566,8918,78,1910,943
"Kodiak Island, AK",13346,32.5,3894,5138,889,0,13147,4,192,17,4130,77,1,38,22,45,32,10,13,16,25,4,39,1168,6669,7.1,37,1,32,161,22,47198,2618,57,125,4774,4034,21.9,996,3233,170,191,73,191,150,473,183,162,322,410,652,437,593,195,236,167,12242,335,62574,6.9,13592,-321,2.1,7197,6395,7137,92,1797,2660
"Lake and Peninsula, AK",1485,30.8,492,572,109,0,1399,0,0,0,0,1,4,2,3,4,6,0,2,2,4,0,0,0,1076,8.1,0,0,0,0,0,44817,0,0,17,350,477,30.1,43,393,77,14,26,49,10,17,36,20,14,29,33,67,38,17,10,8,10732,36,42236,16.1,1631,-192,0.1,859,772,362,9,1061,6
"Matanuska-Susitna, AK",88379,34.8,25719,31213,6780,0,82099,9,469,53,9265,11,5,416,45,235,73,31,76,68,149,21,242,6823,42616,9.1,127,0,79,639,32,33761,16468,301,594,29149,25866,23.3,3301,22579,1077,813,739,817,947,1028,785,817,937,1916,2605,3827,2323,1445,1254,626,13668,2073,70442,8.7,88995,29673,3.6,46040,42955,73676,856,4901,1096
"Nome, AK",9391,27.6,3259,3502,591,0,9339,1,135,1,550,0,1,10,4,32,12,3,6,6,6,2,22,338,4100,13,0,0,0,0,0,42370,2354,25,75,3308,2588,19.7,115,1981,170,163,130,142,144,124,115,72,115,219,347,299,210,90,157,83,11027,754,48174,21.3,9492,296,0.4,5058,4434,1511,27,7199,96
"North Slope, AK",6752,35.1,2251,3673,313,0,6716,1,24,12,2704,0,1,6,2,21,13,11,2,4,11,1,3,0,5374,5.1,60,0,37,58,13,91784,1820,12,44,2289,1980,16.5,249,1443,209,41,55,63,132,82,77,71,81,133,228,234,256,137,195,55,14268,333,75057,7.8,9430,2045,0.1,5904,3526,3059,94,5100,425
"Northwest Arctic, AK",7444,25.7,2655,2853,409,0,7430,1,15,4,600,0,2,3,0,15,12,5,1,3,2,1,4,0,3047,13.4,12,0,7,5,5,53828,2011,16,52,2418,2025,15.2,58,1428,122,93,83,81,60,81,82,83,66,162,182,250,169,104,105,15,10769,515,52272,15,7523,315,0.2,4029,3494,830,37,6121,42
"Petersburg, AK",3773,41.5,891,1197,437,0,3862,4,154,5,866,31,1,21,13,55,23,8,5,6,7,4,18,186,2803,10.2,23,1,45,208,7,34226,622,47,52,1455,1287,22.2,130,1027,25,144,77,62,55,104,54,32,59,184,201,194,235,180,37,7,17627,87,51374,9.2,3815,-2869,1.2,1982,1833,2649,15,614,100
"Prince of Wales-Hyder, AK",5560,39.9,1424,1732,550,0,5572,2,55,4,707,11,3,16,9,26,6,3,3,4,1,2,11,0,2453,14.8,16,0,7,15,3,33047,1376,6,26,2314,1813,23.6,127,1406,107,126,189,200,88,179,88,153,152,214,191,259,209,79,62,23,14007,441,43210,15.4,5559,-587,1.4,3070,2489,2756,17,2207,21
"Sitka, AK",8747,38.2,2090,3139,968,0,8811,4,149,13,2857,30,0,47,18,59,31,9,12,15,15,11,26,0,4684,6.3,13,1,18,273,41,38479,1761,13,20,3303,2959,19.4,437,2211,53,152,154,250,315,166,82,254,74,334,311,351,383,250,215,172,15266,267,59536,7.6,8881,46,3.1,4481,4400,5641,47,1493,529
"Skagway, AK",920,41.2,152,398,120,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,13.4,0,0,0,0,0,0,100,4,0,437,352,0,21,234,0,0,10,14,6,4,16,17,18,40,86,75,29,25,5,34,18814,0,63947,4,968,968,2.1,500,468,872,0,34,5
"Southeast Fairbanks, AK",6892,37.4,1849,2367,616,0,6760,3,41,0,0,3,3,19,9,36,14,4,6,9,9,5,8,173,3584,10.6,0,0,0,0,0,57179,1632,24,28,2366,1987,29.6,234,1708,66,96,56,76,115,192,97,112,72,255,307,341,146,127,122,48,13614,215,54749,12.5,7029,855,0.3,3917,3112,5535,76,808,64
"Valdez-Cordova, AK",9324,39.8,2348,3156,794,0,9529,6,150,19,3749,30,7,24,13,45,45,17,7,14,16,2,20,1159,5232,8.7,41,0,14,105,3,47256,1581,24,54,3710,3049,23.3,349,2414,138,96,267,148,209,137,290,224,146,323,340,530,328,224,159,107,13534,212,60780,7.9,9636,-559,0.3,5143,4493,6949,46,1315,354
"Wade Hampton, AK",7731,21.9,3101,2663,354,0,7577,0,0,0,0,0,0,1,0,26,6,0,2,2,1,8,2,0,2690,20.4,0,0,0,0,0,26395,2571,21,27,2212,2073,21.2,7,1419,140,131,150,132,141,104,90,73,86,133,189,176,48,34,26,6,10538,806,30238,30.9,7459,431,0.4,3944,3515,199,1,7085,18
"Wrangell, AK",2147,46.7,520,612,343,0,2168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,837,771,0,37,629,50,47,67,84,20,48,45,47,79,144,66,100,68,16,32,48,15408,166,48021,10.5,2369,2369,0.9,1242,1127,1699,4,384,33
"Yakutat, AK",685,39.7,162,220,64,0,418,0,0,2,290,1,0,2,2,4,5,1,0,1,0,0,2,0,308,10.7,0,0,0,0,0,29030,124,7,6,124,147,26.5,17,156,0,11,4,12,14,6,6,8,7,9,15,25,23,8,9,9,14617,8,52102,14.1,662,-146,0.1,360,302,268,2,237,27
"Yukon-Koyukuk, AK",5627,35.3,1552,1783,544,0,5813,0,0,0,0,1,7,8,0,35,13,5,0,4,1,0,4,0,2968,15.4,0,0,0,0,0,37376,5425,0,39,2315,1764,24.7,66,1318,284,201,195,190,106,121,98,81,64,179,215,162,132,38,43,10,9907,507,32125,22.7,5588,-963,0,3027,2561,1218,10,3992,14
"ARIZONA",6595778,35.9,1629014,2312398,866734,748,6324865,1381,86146,12370,2424193,177,258,13282,4565,18441,3177,2197,9840,8090,15997,1887,16002,1362428,3176155,10,30947,450,57610,150182,37970,43927,1087631,30838,43395,2189729,2170820,21.1,1895149,1576520,152636,113771,117428,129134,127613,129527,121730,119477,106383,193921,239002,278303,167597,93591,81181,76876,15632,176900,48711,16.5,6392017,1261385,56.3,3175823,3216194,3695647,259008,296529,176695
"Gila, AZ",52199,47.9,11471,13426,11701,380,51850,11,592,73,15025,1,4,174,17,163,24,23,58,66,80,16,133,0,23770,11.1,264,0,357,788,123,30463,8304,236,188,19046,19672,16.2,9588,14294,1989,1513,1159,1495,1595,1296,1279,1182,1129,1504,1715,1661,873,285,169,235,16108,2142,36764,20.7,53597,2262,11.3,26633,26964,35298,233,7946,273
"La Paz, AZ",20012,53.9,3678,4422,6621,1085,20055,6,190,16,2233,0,4,24,11,93,10,10,14,19,12,3,23,0,7774,9.9,159,2,211,435,104,31748,2635,54,96,8134,7986,19.9,4806,5584,1021,741,1174,836,707,767,685,670,495,605,528,701,278,83,42,197,16596,1046,30939,25.4,20489,774,4.6,10550,9939,12854,129,2628,107
