"Chilton, AL",0.010544,0.374065,0.009541,0.009166,0.015933,0.0468,0.010791,0.010223,0.00161,0.001463,0.001578,0.225806,0.027237,0.015633,0.011674,0.013265,0.009129,0.005871,0.007222,0.005219,0.003067,0.001018,0.006691,0.000946,0.009465,0.308458,0.011561,0,0.00627,0.00747,0.002421,0.352135,0.01041,0.004629,0.005924,0.011665,0.012342,0.2331,0.002044,0.012242,0.018369,0.017296,0.015443,0.011977,0.014737,0.014219,0.012877,0.011663,0.014764,0.013209,0.010853,0.010852,0.008258,0.006043,0.005178,0.003229,0.742782,0.016585,0.186849,0.34,0.010644,0.262347,0.007869,0.010583,0.010705,0.026182,0.005455,0.00301,0.000514,0.786022,0.246
"Choctaw, AL",0.003425,0.518703,0.002729,0.002455,0.006768,0.02898,0.003619,0.004647,0.000899,0.000066,0.000106,0.258065,0.007782,0.002858,0.00149,0.004964,0.004565,0.003262,0.002063,0.001461,0.001533,0.002037,0.002779,0,0.002457,0.40796,0,0,0.000256,0.000091,0.00009,0.516862,0.002578,0,0.001471,0.003725,0.0042,0.188811,0.000041,0.003903,0.00857,0.00891,0.007962,0.00434,0.005297,0.005291,0.005055,0.00509,0.003226,0.004436,0.003424,0.003107,0.001231,0.000886,0.000582,0.000604,0.738152,0.005549,0.102071,0.431111,0.003367,0.255791,0.001889,0.00326,0.003472,0.005661,0.007752,0.00035,0.000047,0.862366,0.124
"Clarke, AL",0.006386,0.438903,0.005558,0.004891,0.011493,0.027665,0.006741,0.016729,0.0023,0.000332,0.0004,0.354839,0.031128,0.006892,0.0077,0.011475,0.010534,0.009785,0.008696,0.003758,0.002179,0.007128,0.005456,0.000165,0.00498,0.626866,0.001024,0,0.000932,0.001779,0.000493,0.367893,0.006851,0.002525,0.002942,0.006634,0.007558,0.219114,0.00016,0.007283,0.019177,0.01062,0.01109,0.009918,0.011062,0.004238,0.005288,0.004866,0.004404,0.005208,0.004217,0.004593,0.005425,0.003658,0.001983,0.002359,0.692777,0.009518,0.120022,0.571111,0.006292,0.255823,0.002602,0.005972,0.00661,0.010287,0.014618,0.002,0.000304,1,0.063
"Clay, AL",0.00334,0.483791,0.002731,0.00263,0.006929,0.039517,0.003501,0.004647,0.000815,0.000133,0.000157,0.16129,0.011673,0.003866,0.002484,0.003337,0.004565,0.000652,0.001621,0.001879,0.000807,0.003055,0.002368,0,0.002641,0.532338,0.00038,0,0.001375,0.00079,0.000314,0.350855,0.002911,0.002525,0.000776,0.003875,0.004203,0.219114,0.000236,0.00401,0.006259,0.005545,0.005682,0.006203,0.005648,0.005424,0.005113,0.006468,0.003738,0.004194,0.004979,0.003568,0.002412,0.000564,0.000472,0.000383,0.732487,0.003715,0.142726,0.351111,0.003384,0.257659,0.002877,0.003331,0.003437,0.008244,0.002664,0.001068,0.000095,0.87957,0.137
"Cleburne, AL",0.003614,0.448878,0.003086,0.002907,0.006204,0.051858,0.003708,0.005576,0.00079,0.000532,0.000703,0.086022,0.003891,0.004539,0.002484,0.003906,0.002809,0,0.001326,0.001253,0.000646,0,0.001132,0,0.003107,0.258706,0.001346,0.002611,0.002284,0.001852,0.001524,0.414974,0.003631,0.000736,0.003963,0.004227,0.004128,0.200466,0.000181,0.004231,0.00648,0.007752,0.005148,0.004205,0.005908,0.004571,0.005346,0.003234,0.002407,0.003125,0.004288,0.004035,0.000941,0.001176,0.00085,0.001415,0.699695,0.003807,0.175551,0.302222,0.003638,0.258914,0.003328,0.003636,0.003641,0.010296,0.000642,0.00099,0.000091,0.787097,0.238
"Coffee, AL",0.011936,0.374065,0.01052,0.010697,0.01924,0.036601,0.01195,0.013941,0.002567,0.015892,0.011449,0.129032,0.019455,0.016641,0.008197,0.017171,0.008427,0.012394,0.010906,0.012735,0.00573,0.01222,0.010809,0.003188,0.010585,0.20398,0.0036,0.002611,0.004196,0.002986,0.00148,0.340104,0.012474,0.00626,0.005556,0.012503,0.013441,0.212121,0.0019,0.014012,0.018106,0.020482,0.016537,0.013032,0.014776,0.017364,0.016461,0.012501,0.01374,0.013281,0.014983,0.012928,0.013323,0.009523,0.00768,0.004438,0.747794,0.013772,0.234157,0.273333,0.012185,0.264796,0.009195,0.012093,0.012276,0.02673,0.010779,0.012524,0.002545,0.830108,0.201
"Colbert, AL",0.013411,0.478803,0.010476,0.010471,0.025431,0.036381,0.013931,0.017658,0.003057,0.005851,0.005362,0.043011,0.007782,0.017146,0.026577,0.019124,0.014747,0.009132,0.014444,0.006681,0.007667,0.007128,0.014103,0.002311,0.01246,0.323383,0.010039,0.005222,0.011818,0.014305,0.003587,0.460515,0.011573,0.006208,0.007476,0.014701,0.016655,0.172494,0.000651,0.015641,0.022748,0.02702,0.024956,0.016906,0.017139,0.020283,0.020146,0.018326,0.015089,0.018328,0.015988,0.017676,0.011502,0.007267,0.006028,0.004968,0.831245,0.015714,0.167353,0.28,0.01328,0.257408,0.011472,0.012817,0.013739,0.032065,0.011306,0.005184,0.000905,0.698925,0.225
"Conecuh, AL",0.003165,0.508728,0.002642,0.0023,0.006362,0.030919,0.003333,0.002788,0.000498,0.000066,0.000045,0.236559,0.007782,0.002017,0.002981,0.003499,0.006671,0.002609,0.001326,0.001461,0.000565,0.001018,0.002574,0,0.002253,0.651741,0.00079,0.002611,0.001632,0.001262,0.000493,0.357618,0.002271,0.001052,0.001757,0.003472,0.003837,0.153846,0.000094,0.003745,0.00919,0.009848,0.006529,0.005811,0.004012,0.005544,0.002302,0.002949,0.003328,0.003592,0.002819,0.003036,0.001461,0.001209,0.000472,0.001135,0.657043,0.006944,0.056868,0.535556,0.003212,0.25708,0.001939,0.003125,0.003299,0.004967,0.007929,0.000854,0.000067,0.767742,0.191
"Coosa, AL",0.002582,0.538653,0.002057,0.00211,0.005078,0.035184,0.002736,0.001859,0.000071,0,0,0.053763,0.007782,0.002185,0.001987,0.001709,0.001404,0.000652,0.00059,0.001461,0.000404,0,0.000618,0,0.002129,0.492537,0.000702,0,0.002401,0.001452,0.000224,0.351704,0.001844,0,0.000082,0.003204,0.003161,0.205128,0.000135,0.003315,0.005997,0.006579,0.002958,0.004793,0.004726,0.004118,0.003438,0.003698,0.004557,0.002011,0.002921,0.003217,0.001892,0.00174,0.000094,0.000545,0.715274,0.003591,0.142337,0.295556,0.0028,0.257293,0.002202,0.002788,0.002811,0.00559,0.004619,0.000777,0.000063,0.943011,0.108
"Covington, AL",0.008999,0.493766,0.007418,0.00694,0.019087,0.037781,0.009363,0.013941,0.003195,0.000798,0.001132,0.11828,0.011673,0.016305,0.008942,0.014974,0.011587,0.005219,0.00899,0.008142,0.005488,0.003055,0.009883,0,0.008055,0.293532,0.002751,0.005222,0.003939,0.005509,0.001211,0.368799,0.008426,0.001789,0.003514,0.010129,0.010987,0.191142,0.000287,0.010666,0.018747,0.019972,0.015404,0.014907,0.012218,0.014779,0.0096,0.011977,0.008824,0.011135,0.011536,0.006707,0.005676,0.003948,0.004863,0.001813,0.737608,0.017271,0.114081,0.424444,0.009208,0.258148,0.004566,0.008954,0.00946,0.023482,0.006081,0.004155,0.000613,0.831183,0.197
