tanh,1,10,12.2850127225
tanh,1,20,8.76376500479
tanh,1,30,16.6998885314
tanh,1,40,9.14075385776
tanh,1,50,29.2391721484

tanh,1,70,30.1115290976

tanh,1,90,7.49277274047


tanh,2,10,13.337742826
tanh,2,20,84.4947425739
tanh,2,30,76.2955082596
tanh,2,40,37.2157955929
tanh,2,50,25.612679984

tanh,2,70,48.0380399607

tanh,2,90,6.96030375469

tanh,3,10,22.7986214976
tanh,3,20,27.8821541614
tanh,3,30,39.2414439058
tanh,3,40,49.6385018357
tanh,3,50,26.7458099937

tanh,3,70,35.0028571007

tanh,3,90,25.1634202303









