"Chilton, AL0.00436341917165",0.599681021,0.004562469,0.003847961,0.005508208,0.006072498,0.004319952,0.006332758,0.000800136,0.001462863,0.001578279,0.085365854,0.027237354,0.006891441,0.003435421,0.005723516,0.003971285,0.000992063,0.00381145,0.001972542,0.001233926,0.000303398,0.002289861,0.000127568,0.003907588,0.316498316,0.006606677,0,0.004932883,0.005539141,0.000954553,0.289850546,0.004667314,0.001536957,0.001858808,0.004721633,0.004878533,0.335353535,0.000729539,0.005511194,0.008712546,0.006730754,0.006973952,0.005797359,0.007009648,0.006868185,0.005998141,0.005451517,0.006682994,0.005913668,0.004356227,0.004434637,0.003215096,0.002334761,0.001948094,0.001182914,0.72477942,0.011001426,0.340770578,0.301612903,0.004444929,0.24821571,0.000906899,0.004464782,0.004425631,0.01297318,0.003284756,0.001978833,9.65E-05,0.493,0.218,0.134,0.108,0.02
"Choctaw, AL0.00142059142704",0.692185008,0.001307547,0.001034875,0.002341348,0.003760311,0.001454121,0.002878526,0.000446829,6.65E-05,0.000106353,0.097560976,0.007782101,0.001259726,0.000438564,0.002141929,0.001985642,0.000551146,0.001088986,0.000552312,0.000616963,0.000606796,0.000951173,0,0.00102183,0.383838384,0,0,0.000201716,6.73E-05,3.54E-05,0.403393563,0.001155646,0,0.000461497,0.001516279,0.00166747,0.296969697,1.56E-05,0.001765205,0.004064858,0.003467358,0.003595852,0.002100579,0.002527666,0.002555454,0.002354474,0.002379353,0.001460215,0.001991296,0.001374323,0.001275355,0.000479342,0.000342432,0.000219087,0.000221459,0.720261507,0.003680775,0.27204028,0.367741935,0.001411504,0.242013057,0.000218807,0.001381917,0.001440263,0.002822249,0.004668546,0.0002298,8.91E-06,0.499,0.21,0.147,0.079,0.032
"Clarke, AL0.00264439184725",0.641148325,0.002659636,0.002056143,0.003974155,0.003589686,0.002701809,0.010362694,0.001143052,0.000332469,0.000400419,0.134146341,0.031128405,0.003038162,0.002265916,0.004951017,0.004582251,0.001653439,0.004589297,0.00142023,0.000876737,0.002123786,0.001867118,2.23E-05,0.00206108,0.531986532,0.000585402,0,0.000733514,0.001319164,0.000194446,0.300712133,0.003071714,0.00083834,0.000922994,0.00269067,0.002991851,0.323232323,5.78E-05,0.003283381,0.009096117,0.004132919,0.005008298,0.004800475,0.005264943,0.002046938,0.002463037,0.002274381,0.001993309,0.002336561,0.001692687,0.001881281,0.00211222,0.001413309,0.000746079,0.00086423,0.675985968,0.006313551,0.286593695,0.469354839,0.002631025,0.242042482,0.00030086,0.002523734,0.002735315,0.005110469,0.008802835,0.001314966,5.72E-05,0.502,0.193,0.175,0.089,0.027
"Clay, AL0.00138505125553",0.669856459,0.001308796,0.001108453,0.002396957,0.005127498,0.001407111,0.002878526,0.000405264,0.000132988,0.000156871,0.06097561,0.011673152,0.001704335,0.000730941,0.001439657,0.001985642,0.000110229,0.000855632,0.000710115,0.000324717,0.000910194,0.000810259,0,0.001097658,0.468013468,0.000217435,0,0.001081934,0.000585547,0.000123738,0.288968188,0.001305157,0.00083834,0.000243568,0.001577066,0.001668381,0.323232323,8.51E-05,0.001813061,0.002968941,0.002157706,0.002565944,0.003002522,0.002694122,0.002619823,0.002381615,0.003023178,0.001691995,0.001882899,0.001998443,0.001463218,0.000939198,0.000217911,0.000177638,0.000140437,0.714733709,0.002464074,0.305,0.309677419,0.001418939,0.24377959,0.00033253,0.001411878,0.001425802,0.004099957,0.001604327,0.000702167,1.78E-05,0.476,0.207,0.125,0.122,0.031
"Cleburne, AL0.00149867826102",0.647527911,0.001478223,0.001224615,0.002146715,0.006728748,0.001489889,0.003454231,0.000392794,0.00053195,0.000702994,0.032520325,0.003891051,0.002000741,0.000730941,0.001685452,0.001221934,0,0.000700062,0.00047341,0.000259774,0,0.000387515,0,0.001289481,0.282828283,0.000769385,0.001240695,0.00179711,0.001373007,0.000601015,0.33316415,0.001628076,0.000244516,0.001243478,0.001719005,0.00163893,0.307070707,6.55E-05,0.001912419,0.003073551,0.003016494,0.002324651,0.002035306,0.002817422,0.002207861,0.002490178,0.001511589,0.001089367,0.001405148,0.001721056,0.001653728,0.000366326,0.0004545,0.000319748,0.000518538,0.68273626,0.00252542,0.331611208,0.274193548,0.00152486,0.244967764,0.000384352,0.001539986,0.001510157,0.005115234,0.000386716,0.0006511,1.71E-05,0.483,0.211,0.136,0.1,0.024
"Coffee, AL0.00493856069007",0.599681021,0.005030372,0.004489498,0.006651077,0.004749061,0.004782891,0.008635579,0.001276062,0.015892014,0.011448906,0.048780488,0.019455253,0.00733605,0.002412104,0.007408968,0.003665801,0.002094356,0.005756067,0.004813003,0.002305494,0.003640777,0.003699007,0.000429952,0.004369112,0.245791246,0.002057269,0.001240695,0.003300814,0.00221431,0.000583338,0.281557947,0.005592566,0.002078385,0.001743433,0.005060127,0.005311796,0.317171717,0.000678344,0.006306516,0.00858801,0.007970629,0.007468308,0.006307669,0.007028143,0.008387296,0.007667307,0.005843411,0.006219434,0.005945785,0.006014241,0.005281345,0.005187021,0.003679584,0.002889574,0.001625832,0.729669395,0.009135478,0.379124343,0.253225806,0.005087077,0.250532192,0.001059488,0.005100365,0.005074161,0.013244043,0.006491081,0.008234498,0.000478147,0.414,0.233,0.155,0.132,0.036
"Colbert, AL0.00554822694654",0.666666667,0.005009558,0.004395006,0.008790121,0.004720624,0.005574283,0.0109384,0.00151922,0.005851453,0.005361789,0.016260163,0.007782101,0.007558355,0.007821066,0.008251694,0.006415152,0.00154321,0.0076229,0.002524854,0.003084816,0.002123786,0.004826323,0.000311686,0.005140916,0.326599327,0.005736937,0.00248139,0.009297293,0.010607152,0.001414152,0.364554214,0.005188764,0.002060919,0.002345943,0.005947554,0.006579401,0.282828283,0.000233154,0.00703803,0.010789808,0.01051479,0.011270142,0.008182762,0.00815018,0.00979698,0.009383969,0.00856567,0.006829788,0.008202052,0.006417712,0.007218192,0.004477752,0.002807939,0.002267842,0.001820283,0.811098118,0.010423749,0.324964974,0.258064516,0.005543354,0.243542158,0.001321481,0.005405138,0.005677702,0.015883028,0.006808685,0.003408699,0.000170024,0.474,0.197,0.177,0.109,0.031
"Conecuh, AL0.00131305702238",0.685805423,0.001266335,0.000969865,0.002201365,0.004011874,0.001340174,0.001727116,0.000247315,6.65E-05,4.52E-05,0.089430894,0.007782101,0.000889218,0.000877129,0.001509884,0.002902093,0.000440917,0.000700062,0.000552312,0.000227302,0.000303398,0.000880716,0,0.00093801,0.548821549,0.000451596,0.001240695,0.00128365,0.000935529,0.000194446,0.293629847,0.00101839,0.000349308,0.000551233,0.001414145,0.001524162,0.266666667,3.43E-05,0.001694104,0.004358764,0.003832343,0.002948481,0.002812639,0.001917327,0.002677755,0.001072066,0.001378625,0.001506571,0.001613913,0.00113161,0.001246249,0.000568975,0.000466952,0.000177638,0.00041591,0.641118316,0.00460608,0.235394046,0.443548387,0.001347238,0.243232685,0.000224565,0.001324888,0.001368963,0.00247918,0.004774932,0.000561733,1.26E-05,0.59,0.16,0.108,0.105,0.013
"Coosa, AL0.00107189157283",0.704944179,0.000986592,0.000890491,0.001757449,0.004565311,0.001101346,0.00115141,3.53E-05,0,0,0.020325203,0.007782101,0.00096332,0.000584753,0.000737385,0.000610967,0.000110229,0.000311139,0.000552312,0.000162359,0,0.000211372,0,0.00088698,0.441077441,0.000401418,0,0.001888799,0.001076868,8.84E-05,0.289553824,0.000826599,0,2.56E-05,0.001306148,0.001257586,0.311111111,4.91E-05,0.001500857,0.002844405,0.002560263,0.001335939,0.002320131,0.002256404,0.001989006,0.001601314,0.00172853,0.002062843,0.000907324,0.001172588,0.001320336,0.000736549,0.000672411,3.55E-05,0.000199853,0.697937706,0.002382279,0.304684764,0.269354839,0.001175218,0.243433589,0.000254795,0.001183349,0.001167314,0.002787062,0.002781559,0.000510667,1.19E-05,0.553,0.195,0.108,0.09,0.03
"Covington, AL0.00372440688785",0.676236045,0.003547986,0.002914885,0.006598344,0.004902186,0.003749299,0.008635579,0.001587803,0.000797925,0.001132128,0.044715447,0.011673152,0.007187847,0.002631387,0.006460901,0.005040477,0.000881834,0.004744866,0.003077166,0.002208079,0.000910194,0.003381949,0,0.003327198,0.306397306,0.001572222,0.00248139,0.003099098,0.004085369,0.000477276,0.301336811,0.003777601,0.000593824,0.001102465,0.00410173,0.004344166,0.298989899,0.000103031,0.00480338,0.008891878,0.007772035,0.006956297,0.007215547,0.005813631,0.007138535,0.004471465,0.005598477,0.003994345,0.00498627,0.004630461,0.002743865,0.002209648,0.001525377,0.001829669,0.000664376,0.719729988,0.011456411,0.281777583,0.362903226,0.003846269,0.244242278,0.000526865,0.003778783,0.003911868,0.01163756,0.003662153,0.002732066,0.000115082,0.481,0.185,0.133,0.133,0.034
