"Shelby, AL",18260,0.344,14005,0.263,12213,0.23,5005,0.094,2679,0.05,
"Sumter, AL",166,0.591,45,0.16,39,0.139,21,0.075,4,0.013999999999999999,
"Talladega, AL",6304,0.51,2468,0.2,1676,0.136,1179,0.095,470,0.038,
"Tallapoosa, AL",4658,0.528,1325,0.15,1289,0.146,1006,0.114,371,0.042,
"Tuscaloosa, AL",11652,0.375,7789,0.25,6333,0.204,3310,0.106,1381,0.044000000000000004,
"Walker, AL",8394,0.551,3106,0.204,1652,0.10800000000000001,1369,0.09,362,0.024,
"Washington, AL",1269,0.537,516,0.218,362,0.153,152,0.064,27,0.011000000000000001,
"Wilcox, AL",287,0.544,114,0.21600000000000003,64,0.121,44,0.083,12,0.023,
"Winston, AL",3352,0.561,1076,0.18,708,0.11900000000000001,539,0.09,163,0.027000000000000003,
"Apache, AZ",1088,0.436,938,0.376,133,0.053,4450,0.664,1933,0.28800000000000003,
"Cochise, AZ",876,0.069,4654,0.565,3265,0.397,3324,0.392,2843,0.335,
"Coconino, AZ",5738,0.441,3065,0.539,1334,0.235,353,0.062,2196,0.5920000000000001,
"Graham, AZ",1501,0.391,202,0.053,937,0.491,851,0.446,282,0.44799999999999995,
"Greenlee, AZ",497,0.546,325,0.35700000000000004,940,0.674,242,0.17300000000000001,61,0.044000000000000004,
"Maricopa, AZ",144522,0.462,72216,0.231,33803,0.10800000000000001,126988,0.581,86942,0.39799999999999996,
"Mohave, AZ",1023,0.047,4170,0.564,2847,0.385,3558,0.414,3481,0.405,
"Navajo, AZ",2621,0.354,36804,0.436,23137,0.27399999999999997,9854,0.11699999999999999,56317,0.573,
"Pinal, AZ",4079,0.192,1567,0.07400000000000001,9771,0.621,5414,0.344,762,0.452,
"Santa Cruz, AZ",2496,0.6579999999999999,1205,0.318,17005,0.47600000000000003,10547,0.295,3259,0.091,
"Yuma, AZ",4390,0.495,2556,0.28800000000000003,522,0.059000000000000004,4358,0.637,2156,0.315,
"Arkansas, AR",593,0.213,146,0.052000000000000005,83,0.03,724,0.833,132,0.152,
"Ashley, AR",281,0.19399999999999998,104,0.07200000000000001,45,0.031,1375,0.474,980,0.33799999999999997,
"Baxter, AR",1374,0.159,452,0.052000000000000005,376,0.043,1391,0.624,807,0.36200000000000004,
"Benton, AR",11828,0.27899999999999997,2525,0.06,2272,0.054000000000000006,5650,0.541,4696,0.449,
"Boone, AR",1213,0.192,478,0.075,267,0.042,721,0.5920000000000001,469,0.385,
"Bradley, AR",361,0.20800000000000002,94,0.054000000000000006,45,0.026000000000000002,593,0.8320000000000001,106,0.149,
"Calhoun, AR",76,0.184,11,0.027000000000000003,4,0.01,413,0.45,312,0.34,
"Carroll, AR",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
"Chicot, AR",152,0.187,35,0.043,20,0.025,1370,0.8109999999999999,247,0.146,
"Clark, AR",694,0.264,144,0.055,102,0.039,1650,0.752,494,0.225,
"Clay, AR",136,0.163,48,0.057999999999999996,15,0.018000000000000002,960,0.52,656,0.355,
"Cleburne, AR",1392,0.203,339,0.049,210,0.031,758,0.687,316,0.28600000000000003,
"Cleveland, AR",313,0.209,62,0.040999999999999995,32,0.021,382,0.688,137,0.247,
"Columbia, AR",634,0.201,208,0.066,103,0.033,1008,0.738,306,0.22399999999999998,
"Conway, AR",498,0.22399999999999998,101,0.045,31,0.013999999999999999,1755,0.621,840,0.297,
"Craighead, AR",3142,0.255,851,0.069,477,0.039,3543,0.64,1862,0.336,
"Crawford, AR",2251,0.212,591,0.055999999999999994,249,0.023,1586,0.625,874,0.345,
"Crittenden, AR",543,0.17800000000000002,165,0.054000000000000006,91,0.03,3379,0.764,722,0.163,
"Cross, AR",395,0.163,139,0.057,45,0.019,780,0.742,228,0.217,
"Dallas, AR",90,0.205,26,0.059000000000000004,1,0.002,693,0.568,361,0.29600000000000004,
"Desha, AR",75,0.17,16,0.036000000000000004,5,0.011000000000000001,1342,0.6859999999999999,449,0.23,
"Drew, AR",538,0.247,176,0.081,47,0.022000000000000002,1250,0.6779999999999999,475,0.257,
"Faulkner, AR",5078,0.272,950,0.051,595,0.032,4077,0.586,2774,0.39799999999999996,
"Franklin, AR",601,0.18100000000000002,182,0.055,95,0.028999999999999998,667,0.672,294,0.29600000000000004,
"Fulton, AR",181,0.131,111,0.08,32,0.023,701,0.5539999999999999,473,0.374,
"Garland, AR",4050,0.257,968,0.061,673,0.043,4057,0.687,1779,0.301,
"Grant, AR",652,0.201,125,0.039,59,0.018000000000000002,690,0.6629999999999999,300,0.28800000000000003,
"Greene, AR",1318,0.22,376,0.063,206,0.034,1236,0.655,585,0.31,
"Hempstead, AR",395,0.163,119,0.049,91,0.038,786,0.795,164,0.166,
"Hot Spring, AR",891,0.20800000000000002,235,0.055,81,0.019,1562,0.637,730,0.297,
"Howard, AR",322,0.19899999999999998,117,0.07200000000000001,34,0.021,535,0.765,129,0.185,
"Independence, AR",1370,0.23,469,0.079,234,0.039,1059,0.645,521,0.317,
"Izard, AR",349,0.168,139,0.067,55,0.026000000000000002,516,0.649,239,0.301,
"Jackson, AR",351,0.212,82,0.05,31,0.019,702,0.73,225,0.23399999999999999,
"Jefferson, AR",712,0.188,180,0.048,41,0.011000000000000001,9936,0.787,2115,0.168,
"Johnson, AR",617,0.183,234,0.069,98,0.028999999999999998,1056,0.623,580,0.342,
"Lafayette, AR",80,0.10099999999999999,54,0.068,11,0.013999999999999999,443,0.687,160,0.248,
"Lawrence, AR",230,0.185,89,0.07200000000000001,21,0.017,933,0.495,726,0.386,
"Lee, AR",120,0.18100000000000002,16,0.024,12,0.018000000000000002,956,0.8959999999999999,84,0.079,
"Lincoln, AR",242,0.182,68,0.051,15,0.011000000000000001,599,0.757,152,0.192,
"Little River, AR",187,0.139,87,0.065,15,0.011000000000000001,721,0.531,441,0.325,
"Logan, AR",687,0.20800000000000002,205,0.062,64,0.019,881,0.6890000000000001,361,0.282,
"Lonoke, AR",2588,0.22,706,0.06,301,0.026000000000000002,1664,0.654,817,0.321,
"Madison, AR",296,0.16899999999999998,88,0.05,29,0.017,1085,0.41700000000000004,1078,0.414,
"Marion, AR",548,0.149,318,0.087,148,0.04,421,0.556,314,0.415,
"Miller, AR",881,0.126,448,0.064,212,0.03,1300,0.7609999999999999,356,0.20800000000000002,
"Mississippi, AR",673,0.182,222,0.06,138,0.037000000000000005,2017,0.8190000000000001,342,0.139,
"Monroe, AR",81,0.193,14,0.033,5,0.012,843,0.607,411,0.29600000000000004,
"Montgomery, AR",287,0.17800000000000002,100,0.062,68,0.042,316,0.66,142,0.29600000000000004,
"Nevada, AR",128,0.187,45,0.066,11,0.016,647,0.5920000000000001,306,0.28,
"Newton, AR",593,0.213,146,0.052000000000000005,83,0.03,211,0.516,192,0.469,
"Ouachita, AR",662,0.242,156,0.057,61,0.022000000000000002,2095,0.7509999999999999,525,0.188,
"Perry, AR",238,0.165,69,0.048,30,0.021,648,0.529,428,0.349,
"Phillips, AR",110,0.172,28,0.044000000000000004,11,0.017,2696,0.754,656,0.183,
"Pike, AR",327,0.217,108,0.07200000000000001,30,0.02,367,0.642,171,0.299,
"Poinsett, AR",473,0.17600000000000002,155,0.057999999999999996,69,0.026000000000000002,717,0.7240000000000001,228,0.23,
"Polk, AR",1040,0.221,311,0.066,155,0.033,349,0.544,272,0.424,
"Pope, AR",2331,0.244,624,0.065,282,0.028999999999999998,1680,0.5760000000000001,1169,0.4,
"Prairie, AR",230,0.21,44,0.04,11,0.01,558,0.517,385,0.35700000000000004,
"Pulaski, AR",11840,0.256,2534,0.055,2020,0.044000000000000004,34862,0.764,10461,0.22899999999999998,
