 ,AGE040209D,AGE050210D,AGE270210D,AGE305210D,AGE770209D,AGN110207D,ANC100209D,BNK010210D,BNK050210D,BPS030210D,BPS130210D,BZN005209D,BZN075209D,BZN110209D,BZN210209D,BZN410209D,BZN450209D,BZN480209D,BZN510209D,BZN550209D,BZN610209D,BZN685209D,BZN710209D,BZN780209D,CLF010210D,CLF040210D,CRM110208D,CRM140208D,CRM240208D,CRM250208D,CRM260208D,EAN012207D,EDU015208D,EDU442209D,EDU490209D,EDU448209D,EDU496209D,HEA775207D,HIS020210D,HSD110210D,INC150209D,INC170209D,INC180209D,INC190209D,INC200209D,INC210209D,INC220209D,INC240209D,INC250209D,INC270209D,INC280209D,INC300209D,INC310209D,INC320209D,INC340209D,INC350209D,INC425209D,INC454209D,IPE010209D,IPE120209D,POP010210D,POP040210D,POP060210D,POP150210D,POP160210D,POP230210D,POP250210D,POP280210D,POP320210D
"Pasquotank, NC",41578,36.6,9199,15348,5698,2591,40334,14,1021,45,6957,7,4,91,27,209,20,10,67,44,76,9,144,876,17477,10,233,1,362,905,42,35551,6383,65,170,12557,14247,18.7,1642,10337,1257,974,1012,891,558,968,818,781,687,1248,1708,1677,894,389,228,251,14008,1859,39370,17.7,40661,5764,179.2,19969,20692,22369,15355,141,454
"Pender, NC",52378,41.1,11889,17051,7915,4027,49408,8,346,183,29555,6,2,169,37,146,25,3,29,49,73,1,79,1226,24188,10.8,84,1,577,744,157,27511,8256,154,136,18008,18333,22.2,3194,14557,2037,1063,1276,1180,986,1292,1174,1327,1130,1779,2025,2020,1120,515,475,330,13432,2200,43261,18.1,52217,11135,60,26134,26083,38568,9269,291,207
"Perquimans, NC",12734,46.4,2769,3705,2688,2883,12367,3,107,53,8674,6,1,31,6,34,12,2,9,6,8,1,21,0,5042,9.7,20,1,120,102,6,28046,1768,2,26,4353,4870,20.6,286,3949,629,557,321,219,339,336,211,331,360,322,526,344,229,132,165,92,13623,862,37284,17.2,13453,2085,54.4,6446,7007,9608,3347,41,38
"Person, NC",37667,41.4,9114,12496,5384,3404,37301,8,420,68,12656,5,5,104,34,128,19,4,35,27,40,10,79,0,18848,11,150,3,420,755,68,31851,6100,163,102,13000,13523,14.8,1593,10979,1613,1082,939,730,881,844,696,768,712,1237,1634,2052,879,374,311,158,12732,1746,42559,14.6,39464,3841,100.6,19137,20327,26354,10646,266,116
"Pitt, NC",159057,31,37798,75653,16122,3394,151931,48,1762,669,75331,11,5,374,83,627,76,52,253,172,320,38,488,5524,82080,10.1,986,7,2570,5165,417,36696,23487,1297,1964,43210,48228,19.5,9202,39665,9240,5729,4717,3775,3621,3284,3303,3264,2732,4753,5097,5450,3608,1561,1634,1393,13824,7451,36339,25.5,168148,34350,257.9,79360,88788,96038,57257,582,2613
"Polk, NC",19255,49.1,3938,5182,4739,7455,19107,11,430,39,10424,13,1,67,19,61,6,10,26,19,38,11,55,940,9261,8.8,10,0,38,151,12,28597,2620,106,104,7299,7775,22.5,1122,5781,612,515,779,637,503,639,567,447,381,655,876,667,444,186,251,93,15646,365,42072,15.3,20510,2186,86.3,9825,10685,18126,918,72,68
"Randolph, NC",142151,39.5,34714,47916,19644,4844,139443,43,1785,318,45311,9,6,327,287,416,89,21,148,72,159,18,236,7677,72764,10.8,263,3,1226,3117,261,33546,23930,273,300,50371,51056,19.7,14698,39425,4999,3894,4068,3640,3965,3582,3215,2751,2744,4676,5539,6041,2379,1217,792,736,14632,5374,38529,16,141752,11298,181.1,69838,71914,115205,8176,952,1431
"Richmond, NC",45970,38.7,11380,15870,6606,3833,45947,16,437,115,5998,7,6,80,51,195,24,12,53,31,50,5,105,727,19999,13.6,240,7,805,1559,119,34916,7895,94,103,16109,16706,15.3,2741,12356,3125,1661,1399,1741,1409,1185,758,830,761,1318,1348,1493,629,205,215,183,13735,2687,30449,30,46639,75,98.4,22957,23682,27369,14269,1173,431
"Robeson, NC",129559,34.4,35927,49500,14141,2881,127686,33,996,206,34569,8,6,191,63,398,61,15,119,60,110,10,299,2083,55233,12.6,1187,25,3303,4007,717,29893,24723,303,408,42180,43630,18.4,10932,33921,7046,4965,4158,3484,3110,2699,2085,2045,2077,2866,3333,2745,1479,592,483,363,12510,8527,27421,31.1,134168,10829,141.3,65243,68925,36160,32637,51502,993
"Rockingham, NC",92252,42.2,20789,29751,14752,3878,92007,32,1135,105,23224,10,13,209,95,321,45,15,105,61,111,12,195,3880,43359,12.9,305,5,1169,2507,211,32428,14530,104,255,32521,35186,16.6,5159,26168,3265,3056,2471,2618,3071,2721,2354,2127,1841,3330,3477,3992,1732,729,441,340,14042,4161,36104,14.9,93643,1715,165.6,45166,48477,68744,17655,345,430
"Rowan, NC",140798,39.1,32942,47579,20938,5195,137387,38,1468,207,39777,5,9,309,196,410,91,20,142,91,185,23,246,9207,68690,12.8,634,8,1384,2973,310,42492,21125,281,406,48476,50503,17.3,10644,37058,4170,4073,3377,2880,3119,3202,3056,2435,3227,4872,5834,6423,2983,1443,970,925,14764,4762,42787,16.7,138428,8088,270.7,68363,70065,101986,22392,468,1386
"Rutherford, NC",63415,42.5,15224,21073,10950,4387,63153,23,747,111,20596,10,10,167,62,248,22,19,78,52,66,13,140,1807,26505,16.1,202,1,658,1474,145,32505,10491,162,159,21843,24346,15.1,2397,18832,3304,1995,2211,2144,1728,1835,1662,1375,1312,2399,2324,2177,984,359,286,257,14465,3580,34016,21.8,67810,4911,120.2,32781,35029,57054,6854,171,296
"Sampson, NC",63713,38.2,16277,21356,8415,3738,62996,16,476,93,13261,7,2,107,50,198,33,11,60,32,51,3,108,836,31444,8.7,245,6,864,944,175,38691,11724,93,216,22200,21929,21.3,10440,16896,2674,1945,1955,1618,1622,1576,1097,1006,1175,1719,2016,2169,1042,507,231,272,13259,2990,33937,21.7,63431,3270,67.1,31108,32323,33754,17128,1297,242
"Scotland, NC",36292,38.4,9073,12028,4673,2895,36394,9,327,80,8538,4,1,43,31,147,20,11,39,22,30,5,128,892,13414,16.8,187,8,832,847,109,32864,6981,41,108,11801,13026,12.7,754,9393,2233,1298,827,1334,669,754,798,466,689,887,1183,994,534,295,152,120,14791,2823,31974,29.6,36157,159,113.4,17466,18691,16605,13943,3934,276
"Stanly, NC",59794,40.5,13733,20377,9397,4020,59136,23,911,130,16887,11,4,177,105,229,27,13,70,35,76,13,174,2165,29847,12.3,163,3,592,1131,97,33000,9918,53,189,20655,21254,17.4,2166,16585,1724,1719,1418,1530,1333,1387,1470,1142,1239,1869,2604,2674,1319,657,256,376,14250,1967,42296,14.1,60585,2485,153.3,30111,30474,49877,6630,197,1118
"Stokes, NC",46150,42.8,10521,14807,7343,4244,45916,11,351,40,7189,5,1,102,33,115,15,9,36,25,35,6,54,968,23006,10.8,115,1,383,759,92,22517,7431,42,118,16921,17839,15.2,1254,13590,1290,1352,1231,1387,1311,1324,1161,980,772,1669,2044,1945,853,354,295,132,14512,1993,46245,11.2,47401,2690,105.6,23124,24277,43447,1916,156,125
"Surry, NC",72496,41.2,17217,23557,12263,4688,72166,29,1327,88,17761,5,4,201,95,329,74,31,101,70,106,6,176,3894,32942,11.9,181,6,666,1299,181,31916,11038,43,139,25757,27232,18.5,7155,20693,3130,2379,2399,2095,2085,1737,1487,1586,1381,2131,3113,2568,1222,638,386,344,13768,2986,34397,17.4,73673,2454,138.4,35971,37702,62611,2749,219,347
"Swain, NC",13404,40.8,3269,4404,2339,6133,13367,5,258,46,9260,2,0,50,8,97,3,5,13,13,11,3,31,6736,6754,13,116,1,139,382,33,31867,2142,39,121,4538,5107,24.5,540,3799,803,380,420,524,505,313,177,302,230,458,487,590,191,65,140,23,13477,439,35700,17.6,13981,1013,26.5,6812,7169,9168,76,3775,67
"Transylvania, NC",30203,48.8,5832,9099,7554,7345,29886,12,576,160,33284,1,3,146,27,122,12,6,50,51,68,10,74,5266,12720,9.8,61,0,244,395,35,27514,3936,0,52,11046,11963,18.8,964,9518,1050,1067,862,905,899,935,806,499,510,1001,1225,1361,670,362,234,227,16943,1252,36807,19.9,33090,3756,87.4,15973,17117,30049,1292,95,144
"Tyrrell, NC",4078,41.4,795,1609,637,2279,4112,2,70,5,950,3,0,6,3,18,0,0,4,2,3,1,6,0,2238,10.6,7,0,3,58,3,29512,624,0,13,1813,1410,27.3,240,1076,247,107,225,215,69,120,118,96,66,142,102,124,5,32,63,13,12749,416,30058,28.9,4407,258,11.3,2434,1973,2350,1683,17,80
